Forma grafica;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
affili;2;5;3;1;1;0;0;1;2;1;0;1;0;2;0;0;1;0;2;0;1;0;4;0;0;0;2;0;1;2;0;2;1;0;0;0;0;0;3;0;1;0;0;1;0;0;1;0;0;0;3;0;0;1;0;0;0
empir;0;1;1;0;0;0;0;0;0;1;2;2;0;1;1;0;2;3;1;3;1;2;2;1;1;0;2;0;1;2;2;1;1;1;1;0;0;3;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;1;0
empathi;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;1;1;2;3;1;1;3;3;1;1;2;1;1;0;2;2;0;5;0;0;1;0;1;0;0;0;1;1;1;0;0;1;0;0;3;0;0;0;1;0;1;0
mate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;3;2;1;1;1;1;0;0;2;1;0;1;2;1;2;1;3;2;3;4;3;2;0;4;0;1;0;0;0
ideolog;0;0;0;0;0;0;0;2;1;1;1;1;0;1;0;1;0;0;1;1;1;2;2;0;1;0;1;0;1;1;1;1;0;0;1;1;0;5;0;0;0;0;1;0;1;0;4;2;2;1;1;1;1;0;0;2;1
interpret;5;0;0;0;1;1;3;0;0;1;2;2;1;0;2;1;1;1;2;0;0;2;2;0;1;1;0;1;3;0;0;0;1;3;0;1;0;2;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0
love;0;1;0;0;0;1;0;1;1;0;0;1;0;3;1;1;1;1;1;1;1;1;1;2;1;1;1;0;2;0;1;2;0;1;4;0;1;2;0;1;1;1;0;1;0;0;1;1;1;0;0;0;0;1;1;0;0
physiolog;0;2;0;2;1;0;1;0;1;2;1;1;0;0;2;1;3;0;3;0;2;1;0;0;0;2;0;2;2;2;0;0;3;2;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;1;0
leader;1;0;1;0;0;1;1;0;0;0;5;1;0;0;0;1;1;0;0;1;2;2;3;0;0;1;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;5;1;0;1;2;1;1;1;1;0;1;3;0;1;1
accept;1;3;4;2;1;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;2;0;0;0;0;2;0;0;0;0;0;4;2;1;3;2;1;2;0;0;0;0;2;1;2;0
persist;3;0;2;2;1;0;0;0;0;1;2;0;0;0;1;1;0;4;4;0;0;3;0;0;0;0;0;1;0;0;1;0;2;2;0;1;0;1;2;1;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2
recognit;3;2;4;1;1;0;2;0;0;0;0;1;2;0;4;1;0;0;2;0;5;1;1;1;0;1;1;2;0;0;1;1;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0
self evalu;2;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;2;1;2;2;3;0;2;1;0;1;4;2;3;1;1;0;0;2;1;2;1;1;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0
inform process;0;2;0;0;0;0;0;1;1;0;0;0;1;0;1;3;1;1;1;2;1;0;2;2;2;1;1;0;0;0;0;0;2;0;3;1;3;2;1;1;0;3;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0
person percept;0;0;0;0;0;2;0;1;1;0;0;2;0;3;2;2;2;2;1;0;1;0;3;2;2;0;0;1;0;0;3;0;2;1;1;0;0;1;1;0;2;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1;0
word;4;3;2;4;0;1;0;0;2;1;1;1;1;0;0;1;0;1;0;1;2;1;0;0;0;1;0;1;0;0;0;2;1;1;0;0;0;1;2;1;0;1;1;1;0;0;1;0;0;0;1;0;1;0;0;1;0
discrep;1;3;2;6;1;2;2;1;0;1;1;2;0;1;0;0;0;0;2;0;0;1;0;1;0;0;0;1;1;0;0;1;0;1;1;1;0;2;0;0;1;1;1;0;1;0;0;2;1;0;0;0;0;1;0;0;0
respond;2;0;2;1;0;0;1;0;1;1;1;0;1;0;0;0;1;0;0;2;0;1;3;0;1;1;2;0;2;2;1;0;1;1;0;0;2;1;1;0;0;1;0;0;1;1;1;1;1;0;0;2;0;0;1;1;1
initi;2;0;1;0;4;1;3;0;1;1;6;1;2;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;1;0;0;2;1;0;1;0;0;0;0;0;1;3;1;0;1;1;0;0;0;1;0;1;2;1;0
crowd;0;0;0;0;1;0;1;2;1;1;4;5;4;2;2;2;2;2;0;0;1;0;1;1;0;0;0;0;2;0;0;1;0;0;0;1;1;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0
paradigm;2;0;1;0;0;0;1;0;2;3;3;4;0;1;2;0;0;0;0;0;3;2;0;0;0;2;0;0;1;1;0;0;5;1;0;2;1;1;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1
member;1;0;2;0;1;0;0;0;3;1;3;3;0;1;0;0;0;0;2;0;3;2;0;0;0;0;0;0;0;0;1;1;2;3;0;1;1;0;0;1;0;1;0;1;0;2;1;1;0;1;0;0;0;1;0;3;0
account;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;1;0;0;1;1;0;2;2;1;1;1;1;0;0;0;2;1;0;0;2;0;0;2;0;1;2;3;3;1;2;1;1;0;1;0;2;1;3;0
self regul;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;2;1;3;2;0;1;0;1;1;1;2;0;2;1;1;5;0;0;2;1;3;2;3;1;1;2;0;0;0
gender differ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;2;1;2;0;0;2;2;3;0;0;3;0;1;0;2;4;0;1;0;2;1;1;1;0;0;1;2;1;0;2;0;0;2;0;0;1;2;0
violenc;0;1;0;0;0;0;0;2;2;1;2;1;1;2;2;1;2;1;1;0;0;0;1;0;0;1;0;0;0;0;2;2;2;2;0;1;0;0;1;0;0;0;0;1;1;0;2;4;0;0;0;0;0;1;0;2;0
domain;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;1;1;2;0;0;0;0;1;1;2;2;2;1;0;1;1;1;2;2;1;2;1;0;1;1;1;0;2;3;2;1
spontan;1;0;0;0;0;0;0;0;0;0;0;3;0;1;0;1;0;2;0;1;1;3;0;0;0;1;0;1;1;1;1;0;0;1;1;0;1;2;0;2;2;1;0;1;2;1;2;0;0;0;3;1;0;0;2;1;1
search;1;0;1;2;0;0;2;1;1;0;0;0;2;1;1;0;3;0;4;0;2;1;1;1;1;0;0;0;1;0;0;0;2;1;1;1;2;3;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;2
major;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;1;0;2;4;0;1;1;0;1;1;1;3;1;3;0;2;1;2;1;0;1;0;1;1;1;2;1;0;1;1;0;0;0;1;0;2;1
neg affect;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;1;2;1;0;4;0;2;1;1;3;2;1;1;1;5;1;1;1;1;2;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0
coupl;0;0;0;0;0;0;0;0;1;0;0;3;0;1;0;1;0;0;0;0;1;2;1;0;0;2;3;1;2;1;2;0;0;1;1;1;0;0;1;1;1;1;0;1;0;1;0;0;0;2;2;1;0;2;3;1;0
independ;0;0;1;0;1;1;0;1;0;1;0;0;0;0;2;2;2;0;1;2;0;1;0;0;0;4;0;2;1;0;0;0;0;3;1;0;2;0;2;0;0;2;1;1;2;0;0;1;1;0;1;1;0;0;0;1;0
cost;0;0;0;1;2;0;0;1;1;1;1;0;1;2;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;1;1;2;1;0;0;1;1;3;1;2;4;0;1;1;0;1;1;1;1;1;1;1;0
contact;0;0;2;1;0;0;2;0;3;2;1;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;3;0;1;0;0;0;0;0;0;1;1;1;2;1;3;1;1;0;1;0;0;0;0;0;4;2;2
peer;1;0;0;0;0;1;0;2;0;2;1;1;0;0;1;0;0;2;0;2;1;1;2;1;0;1;1;0;0;1;2;0;4;2;1;0;0;1;0;1;0;0;1;0;2;1;0;2;0;1;1;0;1;0;0;0;0
uncertainti;1;1;0;1;0;2;0;3;1;4;2;0;0;0;1;0;0;0;0;2;0;0;1;1;0;0;0;0;1;1;2;0;1;0;0;0;5;0;0;0;1;0;0;0;0;1;3;0;0;2;0;1;0;2;0;1;0
act;0;0;0;0;1;0;3;0;1;0;0;0;0;0;1;2;1;1;3;0;0;3;1;1;3;0;0;1;1;0;1;0;1;1;0;0;1;2;0;0;1;0;1;1;1;0;2;0;2;0;0;0;1;0;0;2;1
distress;0;0;0;0;0;1;1;1;1;0;3;1;0;0;1;0;1;0;1;1;0;3;4;0;2;2;2;1;2;1;0;0;2;1;0;0;3;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;2;0;0;0
nonverb;0;1;1;0;1;2;2;1;0;1;3;2;1;2;2;2;1;2;1;0;2;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;1;2;2;0
improv;0;0;0;0;0;0;0;0;1;0;1;0;1;0;3;0;0;1;0;0;3;1;1;0;0;1;1;0;0;0;0;2;1;0;0;0;3;1;2;0;0;0;2;2;0;0;0;1;3;1;2;1;4;1;0;0;1
social cognit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2;2;0;2;1;2;0;2;1;0;1;1;0;2;0;1;1;1;2;1;6;2;1;0;1;1;1;0;1;0;0;1;1;0;0;0;0
group member;2;2;0;0;0;0;1;0;0;0;2;1;0;0;0;2;1;2;0;0;1;0;0;0;2;0;1;0;1;0;3;0;3;3;1;0;0;2;0;1;0;0;1;0;1;0;0;0;2;0;0;0;0;1;3;1;0
romant relationship;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;3;1;0;0;0;0;1;0;1;0;1;2;0;0;1;3;0;2;2;0;1;4;1;2;2;2;0;3;0;3;1;0
loss;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;2;1;3;1;1;2;0;1;3;0;1;1;1;3;2;1;1;1;0;2;1;0;1;2;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0
environment;0;0;0;0;1;2;0;0;0;0;3;1;0;1;1;1;0;0;0;0;1;1;0;2;0;1;1;0;0;0;0;2;2;1;0;3;2;2;1;0;1;2;0;1;0;0;2;0;0;0;0;1;0;0;1;3;0
humor;0;1;3;3;1;2;1;3;0;4;1;2;0;2;0;1;0;0;2;2;2;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;1;0;1;0;0
development;1;2;2;0;0;0;0;1;1;2;0;0;0;0;1;2;2;0;0;1;1;1;0;0;0;1;1;0;0;2;1;1;0;2;1;1;0;1;0;0;0;0;1;1;2;0;0;0;0;1;0;0;1;1;2;3;0
perceptu;4;4;2;2;0;1;0;0;1;0;2;2;0;0;2;1;0;0;1;0;0;0;0;2;1;0;0;0;1;0;0;0;1;1;0;0;2;0;1;0;3;0;2;0;0;0;0;0;1;0;1;1;0;0;0;0;0
revisit;0;0;2;0;0;0;1;0;1;1;1;1;0;1;0;0;1;1;0;4;1;1;2;1;1;0;0;0;0;0;3;1;0;0;1;1;1;1;0;0;0;0;1;1;2;1;0;0;0;1;3;0;0;0;0;1;1
environ;0;1;1;0;1;0;0;1;0;0;0;1;0;1;2;1;1;0;4;4;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;1;0;0;1;1;1;0;0;1;2;0;2;2;1;1;0
intens;1;1;1;2;0;1;1;3;1;0;1;1;0;0;0;0;0;0;0;1;2;4;1;1;0;0;2;1;1;3;2;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;2;0;0;0;0;0;1;0
optim;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;3;2;0;2;3;1;1;2;2;2;1;0;1;3;2;0;0;2;1;1;2;0;0;0;0;0;2;0;1;0;0;0;0
facilit;1;0;2;0;0;1;1;0;0;0;4;1;2;2;1;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;1;1;0;0;1;1;0;1;0;1;2;1;0;0;2;1;1;1;0;1;1;1;0;0;1;0
multidimension;0;0;1;1;0;1;0;1;3;0;0;2;1;3;2;0;2;1;1;1;3;2;0;1;0;1;3;0;0;0;0;0;3;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
organ;0;1;1;1;0;0;0;1;0;0;2;0;0;0;3;0;2;2;5;0;5;0;0;0;1;2;0;0;2;1;0;1;0;2;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0
facial express;0;1;0;1;0;0;0;1;0;1;0;1;0;1;0;3;2;1;0;1;2;2;1;0;1;1;1;2;0;0;3;1;2;1;0;0;1;2;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;1;0;0;0
self percept;1;0;0;0;1;1;0;1;2;1;3;0;1;0;1;1;5;1;0;2;0;2;0;0;2;0;0;1;0;1;1;0;1;1;0;0;0;1;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;1;1;0;0
physic attract;0;1;0;0;0;0;2;2;1;1;2;1;0;0;1;4;2;4;0;1;1;1;1;0;0;3;2;0;2;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0
social influenc;1;2;2;1;1;1;0;2;1;0;1;1;0;0;0;0;0;2;2;1;0;1;1;0;1;1;1;2;2;0;0;1;2;1;1;0;1;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
subsequ;1;3;1;2;2;1;0;2;0;1;0;3;1;0;1;0;2;1;1;1;2;2;0;0;1;0;1;0;1;0;0;3;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0
world;0;0;0;0;0;1;0;0;0;5;3;1;1;0;0;1;0;1;0;0;2;0;1;0;0;0;1;1;0;2;0;0;0;0;0;1;0;0;1;3;1;0;0;0;1;1;2;0;2;1;1;2;0;0;0;2;0
skill;1;0;0;0;1;0;1;2;1;2;2;0;0;0;0;1;0;3;0;1;3;4;2;1;2;1;1;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0
extravers;1;0;0;1;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;2;2;1;0;0;3;2;0;0;2;1;0;3;0;3;1;1;0;2;0;1;0;0;1;2;0;0;0;0;0;0;1;1;1
lead;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;1;0;1;0;0;0;1;0;0;1;2;1;1;0;1;1;2;0;0;2;1;1;0;0;0;4;2;0;1;1;0;1;4;3;1
punish;1;0;3;3;2;0;0;1;2;0;1;4;0;3;1;0;0;1;0;0;1;4;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;1;0
anteced;1;2;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;2;1;1;0;0;2;1;1;2;1;0;4;2;1;0;1;4;0;1;0;0;1;0;0;0;0;2;0;0;0;2;0;0;0;0;1
theoret;0;2;1;0;0;1;0;0;0;3;2;0;0;0;2;0;0;1;0;4;1;1;1;1;1;1;1;0;1;0;1;1;1;2;1;1;2;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0
hostil;3;0;3;3;1;2;0;2;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;2;1;0;0;1;0;0;1;0;0;0;1;0;2;0;2;0;1;1;1;0;0;1;2;1;0
simul;1;0;1;1;0;0;0;3;1;1;3;2;1;2;0;0;2;0;1;1;0;1;0;2;3;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;2;0;1;0;1;0
matter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;2;0;1;0;0;0;0;0;0;0;4;1;0;0;2;0;2;1;3;0;1;1;2;1;1;1;0;0;4;2;1;0;0;0;3;1
actor;0;0;0;0;0;0;1;0;2;0;5;2;0;1;4;0;0;0;2;0;1;0;0;0;0;2;0;0;2;0;1;3;1;1;0;0;1;1;0;0;0;0;2;0;0;1;0;0;0;1;2;0;0;1;1;0;0
achiev motiv;4;4;3;2;1;1;1;2;1;0;0;0;0;0;2;1;1;2;1;1;0;0;1;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
balanc;0;1;3;1;1;2;2;2;4;5;2;0;1;0;2;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0
colleg;0;1;3;0;0;0;0;0;3;1;0;0;0;0;0;1;1;2;0;3;4;2;1;0;0;0;0;1;0;0;1;0;1;1;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;1;1;2;1
converg;0;0;0;0;0;1;0;0;2;0;1;0;0;1;0;1;2;0;0;2;1;1;0;0;2;2;2;1;2;0;2;1;0;4;0;0;1;0;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;2;1;0
inhibit;2;0;0;1;0;1;1;1;1;1;1;1;0;1;0;0;1;3;1;0;2;0;2;1;1;0;0;2;0;1;0;0;1;0;1;1;0;1;3;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1
equiti;0;0;1;2;2;2;3;2;6;4;3;3;0;3;1;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
inconsist;2;0;3;1;1;1;2;2;2;2;0;1;0;0;0;1;0;1;1;2;1;0;0;1;1;0;0;0;1;0;1;0;0;3;0;1;0;1;2;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
task perform;0;0;3;0;2;0;3;2;1;0;1;1;1;0;2;1;2;1;0;0;3;0;1;1;2;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0
subject well be;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;2;1;0;0;2;0;4;1;1;1;0;0;2;4;3;0;1;1;1;0;0;1;2;1;1;1;0;0;1;0;0;1;0
anticip;1;1;1;0;2;1;0;2;4;0;2;2;0;0;0;0;2;0;2;0;0;1;0;0;1;0;0;2;0;0;0;1;1;1;0;0;1;1;1;0;3;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0
laboratori;1;1;0;3;0;0;2;3;0;2;2;4;1;2;3;0;1;0;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
aspect;3;0;2;1;0;2;2;0;0;1;0;3;0;1;1;0;1;1;2;2;1;1;1;0;0;0;0;0;0;2;1;0;1;1;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
chronic;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;1;2;1;2;1;2;1;1;1;0;1;1;2;0;2;1;1;0;1;0;0;0;2;0;1;3;0;1;1;1;1;0;0;0;0
extrem;1;0;0;0;0;0;0;2;1;1;2;1;0;0;1;1;0;1;0;3;0;0;1;1;2;0;0;1;2;2;0;0;2;0;0;0;2;0;0;1;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;3;0
get;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;1;0;2;1;0;0;0;0;0;0;0;0;3;0;2;1;0;0;1;1;1;1;1;1;0;0;0;2;2;1;0;1;3;2;2;1;2;0
manag;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;1;2;3;0;0;1;0;0;0;0;1;0;1;1;0;0;0;3;3;2;1;2;0;0;2;0;0;0;0;0;4;3;1;0;1;0;0;0;0;0;0
self disclosur;0;0;0;0;1;1;1;2;2;1;1;3;1;0;0;1;2;2;1;1;1;5;0;0;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0
intrins motiv;0;0;0;0;0;0;1;1;0;0;4;4;0;2;1;1;1;1;1;1;1;0;3;0;0;0;0;0;3;1;1;4;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
order;2;1;0;2;1;1;2;0;2;1;1;1;0;0;2;0;0;1;0;1;0;0;0;1;0;2;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;1;0;2;0;1;1;1;1;0;0;0;1;1;1;0;0
procedur;0;0;0;1;0;0;0;0;0;0;2;0;1;1;0;2;1;0;3;1;2;2;1;0;0;1;1;0;0;0;1;1;4;1;1;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0
death;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;1;0;3;1;1;0;0;0;0;0;0;1;4;1;3;1;0;1;0;2;0;1;0;1;3;2;1
leadership;0;1;0;0;1;1;2;2;3;0;2;1;0;0;1;1;0;0;0;0;3;3;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;2;0;0;1;1;2;0;0;0;0;0;1;0;1;0
find;0;0;0;1;0;1;1;2;0;0;1;1;0;1;0;1;0;1;0;1;1;0;1;2;2;0;0;2;1;0;0;1;1;1;0;0;2;1;1;0;2;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;1
anoth;2;0;0;0;3;0;1;1;1;1;2;1;1;0;0;0;2;1;0;1;1;2;1;1;0;1;2;0;0;1;0;1;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0
own;0;2;2;0;2;0;0;2;1;1;2;2;1;0;0;0;1;3;1;0;1;0;2;1;0;1;1;0;0;0;1;0;1;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0
extens;0;2;2;1;0;0;1;1;3;1;1;1;0;1;2;2;0;1;2;0;1;0;1;0;0;3;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0
school;1;0;1;3;0;2;3;0;4;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;2;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;2;2;1;1
alcohol;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;2;1;4;0;4;1;1;0;0;2;1;0;2;0;2;1;0;0;0;3;1;0;1;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
method;2;1;0;0;1;1;0;2;1;0;0;0;1;2;0;0;0;0;0;1;4;2;1;1;0;2;2;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;1;2
ethnic;1;3;0;0;0;1;1;0;2;0;1;1;0;2;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;1;2;1;0;0;0;3;0;2;1;0;0;1;1;2;2;0;1;0;1;0;0;0;0;0;0
potenti;1;2;1;0;0;0;1;3;2;1;1;0;0;0;0;0;0;1;2;0;1;0;1;0;0;0;1;0;1;2;1;0;0;0;1;1;0;2;1;1;0;1;0;1;0;1;0;2;1;0;0;0;0;1;0;0;0
affirm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;1;0;1;1;1;0;2;2;0;3;0;0;0;1;1;0;5;0;4;1;2;0;2;2;0;0;0;1;1
self monitor;0;0;2;0;0;0;0;0;0;2;0;0;1;0;1;3;0;4;4;2;1;2;1;1;3;1;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
friendship;0;1;1;0;0;0;1;1;0;0;1;1;1;1;0;0;2;0;0;3;1;0;0;0;0;0;0;2;0;1;0;0;3;0;1;0;1;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;2;4;0
pressur;2;3;2;0;2;1;2;0;2;2;2;0;0;0;0;0;0;2;1;2;1;0;0;1;1;1;0;0;0;1;2;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
refer;1;3;0;0;0;0;0;0;3;0;0;0;1;0;0;0;2;0;2;2;0;1;0;1;2;2;0;1;0;0;0;1;0;2;0;1;2;1;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1
size;3;1;1;0;3;0;0;0;0;0;3;3;0;0;0;1;0;0;2;0;1;0;1;0;2;0;1;0;1;2;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;2;1;0;0;0
encod;0;1;0;1;0;1;0;0;1;0;1;1;1;0;1;1;0;2;2;1;1;2;0;1;3;0;0;2;1;1;0;0;1;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0
interdepend;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;0;1;0;0;0;0;1;2;2;2;1;1;0;0;1;0;0;1;0;0;0;1;4;0;0;0;4;2;1;2
reject;0;2;0;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;2;1;1;0;2;2;0;0;0;0;4;1;2;0;2;1;1;0;0;3;0;0;0;0
interraci;0;0;0;0;0;0;0;3;3;1;3;1;0;1;0;0;1;0;0;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;1;0;1;0;2;0;1;1;0;0;0;2;3;0
see;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;2;1;0;0;0;0;0;0;0;1;0;2;0;4;0;2;1;3;4;0;0;1;0;1;0;3;1;4;1
focu;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;1;1;1;1;0;3;1;0;0;1;0;1;1;0;2;0;0;2;0;0;3;1;0;1;0;1;0;2;0;0;1;2;0;0;2;0;0;0;0;1;0
religi;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;1;0;2;1;0;0;1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;1;0;0;0;3;1;0;2;1;0;2;3
authoritarian;4;2;2;1;1;1;1;1;4;0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;1;2;0;0;1;1;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0
