Forma grafica;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
attract;8;5;5;3;4;6;8;7;8;6;10;6;3;0;2;3;1;0;3;1;3;4;1;2;1;1;0;1;1;0;3;3;1;1;3;0;0;1;3;1;0;1;1;3;0;0;4;0;1;0;0;0;0;2;2;1;1
help;0;1;1;0;2;4;5;6;2;1;7;5;0;4;1;5;7;3;8;2;6;4;7;0;2;2;1;0;0;1;1;0;2;1;1;1;1;1;1;0;2;6;2;6;3;2;2;0;2;3;0;2;1;1;1;3;2
power;3;0;0;3;5;0;2;3;9;5;0;1;2;1;1;1;0;2;1;4;0;1;2;2;2;1;1;0;1;3;2;0;1;1;2;2;3;4;3;0;3;2;3;9;5;2;4;4;1;1;3;6;7;4;3;2;0
mediat;3;1;1;1;2;4;4;2;3;3;3;3;4;2;6;7;3;2;2;2;4;2;5;5;6;5;4;1;4;1;1;5;4;0;1;0;3;0;1;0;4;1;1;2;0;5;2;2;0;0;1;1;0;1;1;0;0
orient;1;4;3;1;0;1;2;2;2;4;3;2;2;0;0;1;3;4;6;4;4;4;5;3;2;1;0;1;3;9;4;1;2;3;4;0;1;0;5;1;2;2;3;1;0;0;3;3;1;3;4;2;1;2;2;4;0
condit;20;6;8;5;6;3;6;7;6;5;7;8;1;3;3;5;0;0;1;0;3;1;2;5;2;2;0;0;1;0;0;0;0;1;0;0;0;1;0;2;0;0;1;0;2;1;1;0;2;0;0;0;1;1;0;0;0
choic;3;4;2;6;1;5;6;5;6;3;10;5;0;3;4;2;0;3;0;4;2;2;0;0;2;2;2;2;2;1;3;0;3;0;3;1;1;2;1;0;2;1;2;2;0;3;3;4;2;0;1;0;2;3;0;1;2
observ;3;3;4;4;1;4;5;4;5;7;11;6;4;1;6;2;2;0;5;1;1;1;2;1;2;3;0;1;1;2;1;2;3;1;1;1;3;0;1;1;1;0;2;0;0;0;2;0;0;3;3;1;2;2;3;2;0
moral;0;1;1;0;2;1;0;1;1;2;1;1;0;1;0;0;0;1;4;0;2;3;2;1;0;1;2;1;2;2;0;2;3;0;4;0;2;4;3;1;1;2;2;4;12;0;9;4;3;4;0;4;3;8;8;7;3
gener;4;6;1;1;6;3;3;4;2;1;1;4;1;2;2;3;0;2;4;3;1;6;1;4;3;2;5;8;1;4;3;0;5;1;2;0;3;1;1;3;0;1;0;2;0;0;1;3;0;1;2;2;1;1;0;2;0
