Lemma;Categoria;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;Totale
asilo_notturno;public (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;7
atelier;commercial (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;11
attico;civil (place);2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;1;0;0;1;3;0;0;0;0;3;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;32
auditorium;public (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
avamposto;military (place);0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;1;0;0;2;1;2;5;1;0;1;1;0;6;1;2;0;0;4;0;0;0;0;1;0;5;0;0;0;0;2;1;0;2;0;0;0;3;0;1;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;58
azienda;commercial (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;5;1;2;0;0;0;1;0;0;2;0;1;0;0;0;1;5;2;0;0;0;0;0;0;0;1;1;1;2;0;0;1;0;0;1;1;0;2;0;1;1;1;0;2;0;2;1;0;1;1;7;5;12;0;1;3;1;0;0;0;0;0;1;2;2;3;1;3;4;1;1;0;5;0;14;1;111
azienda_agricola;rural (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;1;0;5
azienda_commerciale;commercial (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
badia;religious (place);6;0;0;0;0;0;0;0;5;0;0;9;3;1;0;0;0;4;0;0;0;0;0;0;4;17;2;1;1;3;1;0;4;3;12;8;1;0;0;1;3;1;2;1;0;2;0;4;0;0;0;0;0;0;0;0;0;2;0;3;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;9;0;2;0;0;9;1;0;0;1;2;0;0;0;0;0;0;135
baglio;rural (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
baita;rural (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;17
banca;commercial (place);0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;6;0;2;4;0;0;0;15;1;7;4;0;3;0;8;4;0;9;2;3;22;4;9;12;27;16;4;13;3;38;3;25;10;6;0;10;26;11;3;15;0;8;8;36;3;100;10;35;17;2;6;10;4;21;8;3;14;14;6;14;6;4;11;6;17;53;7;9;12;4;2;3;0;10;0;10;6;10;4;11;2;8;7;850
bar;commercial (place);0;0;0;1;0;1;1;1;0;7;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;2;0;2;1;2;1;0;0;0;0;2;6;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;5;1;0;9;0;0;0;1;0;0;0;0;0;0;7;0;3;1;1;0;0;0;0;0;0;1;3;1;2;0;0;0;3;1;11;18;2;1;9;0;2;6;6;2;4;134
baracca;civil (place);3;0;2;1;3;0;6;5;3;1;0;3;2;5;2;0;1;0;0;0;0;1;0;1;0;3;6;0;1;0;0;0;1;0;4;1;1;3;1;2;6;0;4;1;2;9;0;0;0;3;0;4;6;1;7;6;6;0;2;1;2;3;4;1;2;0;2;1;0;4;0;3;8;9;1;3;3;2;1;0;4;2;9;1;2;7;2;0;3;2;2;0;0;2;2;0;6;0;1;3;6;223
barbieria;commercial (place);0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;7
basilica;religious (place);1;2;1;1;1;0;14;1;7;11;1;23;3;1;0;0;0;4;0;0;0;1;0;2;5;3;0;1;1;1;2;0;4;1;13;5;22;0;0;1;4;1;3;1;2;1;0;3;0;0;0;5;0;1;3;1;3;5;3;4;2;4;1;0;0;1;1;1;1;1;6;5;6;0;0;2;6;0;2;1;0;1;0;1;5;0;3;3;1;2;1;9;10;0;3;2;1;0;0;5;0;260
bastione;military (place);0;0;4;2;5;0;1;0;1;2;0;0;1;1;1;0;3;0;0;0;1;1;0;8;0;7;1;0;1;0;2;2;9;2;4;5;3;2;2;0;10;12;2;0;7;0;2;0;15;17;3;27;1;2;3;4;0;3;2;3;14;0;0;28;3;4;1;3;9;5;1;5;4;2;0;0;0;1;16;0;0;1;1;0;3;0;0;3;8;0;0;1;1;11;0;0;2;8;1;0;1;321
